MovieName,PosterLink,Rating,ReleaseDate,Director,Cast
Spider-Man 2,https://image.tmdb.org/t/p/original/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,7.248,2004-06-25,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris
Spider-Man 2,https://image.tmdb.org/t/p/original/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,7.248,2004-06-25,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris
Spider-Man 2,https://image.tmdb.org/t/p/original/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,7.248,2004-06-25,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris
